subjects	label
subject10384	4
subject10418	5
subject10437	1
subject10439	3
subject10445	1
subject10446	1
subject10450	2
subject10453	4
subject10454	3
subject10476	5
subject10481	5
subject10482	2
subject10491	4
subject10506	4
subject10511	4
subject10512	4
subject10519	2
subject10521	2
subject10528	3
subject10534	3
subject10543	5
subject10544	5
subject10552	5
subject10560	4
subject10561	4
subject10569	5
subject10574	3
subject10593	2
subject10601	2
subject10602	2
subject10616	4
subject10618	2
subject10624	3
subject10628	3
subject10638	5
subject10639	2
subject10642	4
subject10646	1
subject10658	1
subject10662	5
subject10663	1
subject10671	2
subject10679	4
subject10682	1
subject10701	3
subject10721	2
subject10733	3
subject10739	5
subject10756	5
subject10765	2
subject10766	4
subject10769	4
subject10790	2
subject10796	4
subject10817	1
subject10840	1
subject10847	4
subject10855	2
subject10857	3
subject10861	4
subject10874	4
subject10875	5
subject10882	2
subject10890	2
subject10895	2
subject10914	5
subject10927	2
subject10939	4
subject10941	5
subject10943	1
subject10954	1
subject10957	4
subject10986	1
subject10987	1
subject10988	3
subject10991	5
subject10995	5
subject11004	5
subject11025	5
subject11038	2
subject11041	5
subject11044	1
subject11045	3
subject11062	3
subject11063	2
subject11067	3
subject11084	2
subject11090	3
subject11092	5
subject11095	1
subject11098	5
subject11111	4
subject11114	5
subject11117	1
subject11122	5
subject11127	5
subject11129	2
subject11147	5
subject11149	1
subject11164	1
subject11167	2
subject11173	4
subject11182	5
subject11196	4
subject11200	2
subject11204	5
subject11212	4
subject11219	2
subject11220	2
subject11222	1
subject11238	2
subject11277	4
subject11283	4
subject11290	2
subject11293	2
subject11302	4
subject11340	1
subject11347	1
subject11348	2
subject11362	4
subject11366	3
subject11367	4
subject11383	3
subject11385	3
subject11386	4
subject11398	1
subject11410	4
subject11411	1
subject11412	3
subject11428	4
subject11429	2
subject11432	1
subject11440	5
subject11450	5
subject11462	1
subject11463	4
subject11464	2
subject11465	5
subject11468	3
subject11469	5
subject11471	3
subject11478	4
subject11479	4
subject11480	2
subject11483	1
subject11488	2
subject11494	4
