subjects	label
subject1732	5
subject1743	2
subject1761	2
subject1762	2
subject1770	1
subject1782	4
subject1783	4
subject1784	3
subject1789	2
subject1794	4
subject1796	4
subject1806	4
subject1808	2
subject1828	3
subject1843	1
subject1851	2
subject1859	3
subject1888	4
subject1911	3
subject1913	1
subject1919	5
subject1937	2
subject1945	2
subject1951	2
subject1963	2
subject1965	3
subject1968	4
subject1978	2
subject1986	1
subject1990	5
subject1994	2
subject1996	3
subject2003	2
subject2007	2
subject2015	1
subject2046	2
subject2064	2
subject2072	1
subject2079	3
subject2081	5
subject2082	3
subject2086	3
subject2088	1
subject2089	5
subject2104	5
subject2108	3
subject2119	4
subject2123	5
subject2127	4
subject2129	1
subject2136	3
subject2139	2
subject2148	4
subject2155	4
subject2163	3
subject2176	2
subject2177	5
subject2178	2
subject2190	2
subject2205	4
subject2207	3
subject2210	1
subject2215	2
subject2219	2
subject2223	3
subject2228	5
subject2242	4
subject2258	5
subject2259	4
subject2266	5
subject2273	4
subject2274	5
subject2276	5
subject2283	5
subject2291	5
subject2320	3
subject2329	2
subject2336	1
subject2350	3
subject2380	2
subject2382	1
subject2383	3
subject2392	2
subject2394	5
subject2395	2
subject2405	3
subject2416	3
subject2424	1
subject2425	3
subject2427	4
subject2458	1
subject2462	1
subject2470	4
subject2474	3
subject2477	1
subject2479	5
subject2488	1
subject2500	2
subject2504	3
subject2513	4
subject2530	5
subject2537	5
subject2542	4
subject2548	4
subject2558	4
subject2571	4
subject2581	4
subject2591	2
subject2593	4
subject2612	2
subject2618	4
subject2626	3
subject2632	1
subject2635	4
subject2642	3
subject2643	2
subject2645	3
subject2650	1
subject2652	5
subject2655	3
subject2666	4
subject2669	4
subject2672	1
subject2676	3
subject2678	3
subject2717	5
subject2719	4
subject2741	1
subject2749	1
subject2761	4
subject2771	5
subject2774	3
subject2795	1
subject2801	5
subject2807	4
subject2824	5
subject2834	3
subject2835	2
subject2850	1
subject2855	4
subject2869	3
subject2871	5
subject2873	5
subject2881	4
subject2887	1
subject2889	5
subject2892	5
subject2898	5
subject2904	2
subject2915	4
subject2921	2
subject2927	5
subject2931	2
subject2934	4
subject2935	4
subject2937	2
subject2945	2
subject2958	3
subject2966	5
subject2973	5
subject2980	1
subject2986	5
subject2993	4
subject2996	3
subject3006	1
subject3007	3
subject3009	1
subject3018	5
subject3020	1
subject3030	2
subject3039	4
subject3045	5
subject3059	1
subject3062	1
subject3076	4
subject3101	5
subject3123	5
subject3133	3
subject3141	1
subject3143	3
subject3147	4
subject3159	3
subject3162	2
subject3170	5
subject3179	3
subject3181	5
subject3201	5
subject3203	4
subject3211	2
subject3216	5
subject3223	3
subject3226	2
subject3232	3
subject3241	1
subject3250	5
subject3254	4
subject3260	1
subject3266	3
subject3270	4
subject3274	4
subject3281	5
subject3284	1
subject3292	5
subject3294	1
subject3334	1
subject3335	4
subject3337	4
subject3339	1
subject3343	5
subject3344	5
subject3353	4
subject3356	4
subject3375	3
subject3394	3
subject3402	4
subject3403	1
subject3408	3
subject3409	4
subject3411	5
subject3416	4
subject3428	5
subject3434	3
subject3438	2
subject3463	4
subject3467	3
subject3472	3
subject3473	4
subject3474	5
subject3483	5
subject3488	3
subject3528	2
subject3529	2
subject3558	3
subject3566	1
subject3567	2
subject3574	5
subject3595	2
subject3607	4
subject3609	3
subject3624	2
subject3627	5
subject3631	5
subject3632	1
subject3636	5
subject3637	4
subject3645	3
subject3647	5
subject3651	4
subject3655	3
subject3662	4
subject3667	4
subject3670	4
subject3672	3
subject3685	5
subject3686	4
subject3688	3
subject3691	1
subject3702	2
subject3721	3
subject3729	3
subject3732	4
subject3737	1
subject3739	1
subject3740	3
subject3754	4
subject3762	3
subject3766	4
subject3787	3
subject3794	5
subject3797	5
subject3798	5
subject3807	3
subject3810	2
subject3863	1
