subjects	label
subject5937	3
subject5940	5
subject5941	3
subject5945	3
subject5946	4
subject5949	4
subject5951	3
subject5955	2
subject5964	5
subject5984	5
subject5985	1
subject6011	5
subject6025	5
subject6034	3
subject6039	3
subject6042	3
subject6043	3
subject6065	5
subject6072	5
subject6073	5
subject6074	1
subject6077	5
subject6087	2
subject6089	4
subject6090	1
subject6091	2
subject6096	3
subject6101	1
subject6104	2
subject6115	1
subject6125	5
subject6132	4
subject6156	2
subject6159	1
subject6177	2
subject6224	1
subject6225	1
subject6235	4
subject6249	2
subject6258	2
subject6259	5
subject6275	3
subject6277	1
subject6278	1
subject6280	2
subject6306	1
subject6310	2
subject6313	2
subject6325	4
subject6350	2
subject6351	5
subject6353	2
subject6361	2
subject6363	2
subject6373	1
subject6382	2
subject6405	4
subject6416	3
subject6417	5
subject6418	4
subject6421	1
subject6426	3
subject6427	4
subject6429	5
subject6440	5
subject6445	1
subject6449	2
subject6469	2
subject6508	3
subject6514	4
subject6527	4
subject6538	4
subject6548	2
subject6550	4
subject6562	2
subject6565	5
subject6577	3
subject6580	1
subject6588	1
subject6608	5
subject6613	2
subject6615	5
subject6616	2
subject6622	3
subject6646	5
subject6652	3
subject6669	1
subject6675	5
subject6677	4
subject6679	3
subject6684	2
subject6685	1
subject6686	1
subject6696	3
subject6702	5
subject6709	5
subject6716	3
subject6726	5
subject6732	4
subject6738	3
subject6745	2
subject6759	5
subject6786	5
subject6787	5
subject6821	5
subject6830	3
subject6834	5
subject6837	3
subject6846	4
subject6852	3
subject6853	3
subject6855	1
subject6864	3
subject6872	1
subject6874	2
subject6878	4
subject6891	2
subject6898	5
subject6902	5
subject6918	1
subject6936	5
subject6948	5
subject6949	5
subject6950	1
subject6952	5
subject6955	2
subject6960	3
subject6974	5
subject6984	5
subject7000	3
subject7007	5
subject7015	3
subject7017	3
subject7033	3
subject7044	2
subject7045	4
subject7067	3
subject7070	2
subject7072	2
subject7074	4
subject7080	5
subject7102	1
subject7116	3
subject7118	2
subject7120	5
subject7140	5
subject7148	5
subject7153	5
subject7158	4
subject7160	5
subject7163	2
subject7181	2
subject7183	2
subject7184	3
subject7189	5
subject7196	4
subject7208	2
subject7209	1
subject7218	1
subject7225	5
subject7237	5
subject7243	3
subject7245	5
subject7252	2
subject7253	1
subject7255	1
subject7257	2
subject7266	4
subject7273	5
subject7274	5
subject7276	5
subject7286	4
subject7302	2
subject7304	3
subject7326	3
subject7327	4
subject7329	4
subject7334	2
subject7338	4
subject7343	4
subject7345	4
subject7346	4
subject7349	4
subject7352	5
subject7366	5
subject7375	3
subject7381	5
subject7382	3
subject7386	1
subject7399	5
subject7404	4
subject7407	4
subject7408	1
subject7420	1
subject7421	3
subject7428	3
subject7430	2
subject7466	3
subject7473	3
subject7478	5
subject7500	1
subject7511	5
subject7513	5
subject7514	3
subject7515	5
subject7536	2
subject7543	3
subject7549	1
subject7557	1
subject7562	4
subject7579	2
subject7589	1
subject7602	3
subject7610	4
subject7614	2
subject7616	1
subject7618	3
subject7622	3
subject7633	3
subject7636	2
subject7638	4
subject7643	2
subject7653	2
subject7654	1
subject7656	2
subject7657	3
subject7669	4
subject7671	4
subject7673	4
subject7680	4
subject7694	1
subject7697	3
